ID,Titlu,Tip,Descriere,Imagine1,Imagine2,Imagine3
3,The Two Fridas,Pictură,O reprezentare a celor două laturi ale personalității lui Frida Kahlo.,https://www.fridakahlo.org/assets/img/paintings/the-two-fridas.jpg,,
4,Self-Portrait with Thorn Necklace and Hummingbird,Pictură,Un autoportret emblematic al lui Frida Kahlo.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDKFdtlFd6BGTH0QmN7KvviI8AoQW4WBwfDQ&s,,
5,The Persistence Of Memory,Pictură,Celebrul tablou cu ceasuri topite.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfaeCjQScYPg_CMqbHbn3uZMvygjKfPDIKWw&s,,
6,Swans Reflecting Elephants,Pictură,O lucrare surrealistă care combină lebede și elefanți.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuJ64iK6h2GZM0sUoAo-0W48ho_ZNaN5hyhA&s,,
7,Water Lilies,Pictură,Seria celebră de picturi cu nuferi.,https://upload.wikimedia.org/wikipedia/commons/8/8e/Claude_Monet_-_Water_Lilies_-_Google_Art_Project.jpg,null,null
8,Impression, Sunrise,Pictură,Tabloul care a dat numele mișcării impresioniste.,https://upload.wikimedia.org/wikipedia/commons/5/5e/Claude_Monet%2C_Impression%2C_soleil_levant.jpg,null,null
9,The Night Watch,Pictură,Una dintre cele mai cunoscute lucrări ale lui Rembrandt.,https://upload.wikimedia.org/wikipedia/commons/5/5a/The_Night_Watch_-_HD.jpg,null,null
10,Self-Portrait with Two Circles,Pictură,Un autoportret complex al lui Rembrandt.,https://upload.wikimedia.org/wikipedia/commons/1/1a/Rembrandt_van_Rijn_-_Self-Portrait_with_Two_Circles_-_Google_Art_Project.jpg,null,null
11,Jimson Weed/White Flower No. 1,Pictură,O lucrare emblematică a lui Georgia O'Keeffe.,https://upload.wikimedia.org/wikipedia/commons/7/7c/Georgia_O%27Keeffe%2C_Jimson_Weed_White_Flower_No._1%2C_1932.jpg,null,null
12,Black Iris,Pictură,O reprezentare artistică a irisului negru.,https://upload.wikimedia.org/wikipedia/commons/5/5f/Georgia_O%27Keeffe_-_Black_Iris_III_-_Google_Art_Project.jpg,null,null
13,The Kiss,Pictură,Una dintre cele mai cunoscute lucrări ale lui Gustav Klimt.,https://upload.wikimedia.org/wikipedia/commons/4/4f/The_Kiss_-_Gustav_Klimt_-_Google_Cultural_Institute.jpg,null,null
14,Portrait of Adele Bloch-Bauer I,Pictură,Cunoscut și sub numele de „Doamna în Aur”.,https://upload.wikimedia.org/wikipedia/commons/3/3f/Gustav_Klimt_046.jpg,null,null
15,The Kiss v2,Sculptură,O sculptură modernistă a lui Brâncuși.,https://upload.wikimedia.org/wikipedia/commons/7/7f/Constantin_Br%C3%A2ncu%C8%99i%2C_1907-08%2C_The_Kiss%2C_28_x_21_x_16_cm%2C_Hamburger_Kunsthalle.jpg,null,null
16,Bird in Space,Sculptură,O reprezentare abstractă a unei păsări în zbor.,https://upload.wikimedia.org/wikipedia/commons/5/5f/Brancusi_bird_in_space.jpg,null,null
17,Starry Night,Pictură,Una dintre cele mai cunoscute lucrări ale lui Van Gogh.,https://upload.wikimedia.org/wikipedia/commons/9/94/Starry_Night_Over_the_Rhone.jpg,null,null
18,Sunflowers,Pictură,Seria celebră de picturi cu floarea-soarelui.,https://upload.wikimedia.org/wikipedia/commons/9/9d/Vincent_van_Gogh_-_Sunflowers_-_VGM_F458.jpg,null,null
19,Campbell's Soup Cans,Pictură,O serie de picturi care reprezintă cutii de supă Campbell.,https://upload.wikimedia.org/wikipedia/en/3/3c/Andy_Warhol%2C_Campbell%27s_Soup_Cans%2C_1962.jpg,null,null
20,Marilyn Diptych,Pictură,O reprezentare a lui Marilyn Monroe2,https://upload.wikimedia.org/wikipedia/en/7/7f/Andy_Warhol%2C_Marilyn_Diptych%2C_1962.jpg,,
21,ww,w,w,w,,
